Title,Location,URL,Description,Animal Category,extracted_price
Male Chinchillia,No Location,https://charlottesville.craigslist.org/pet/d/montpelier-station-male-chinchillia/7818982383.html,"QR Code Link to This Post


I got Cletus about two years ago, and i’ve tried to be the best owner i can be but i still dont have enough time for him. I’m not actually sure how old he is, my guess is 3-4 years old. He has never bit me or anyone who’s held him! He’s also ran up on my lap a few times, i let him out to play and his favorite thing to do is run through the tunnel.  He’s not out enough to bond with me just enough for exercise. He will come with almost everything he materially needs including : dust, dust bath, hay, food & water equipment, shelter, and chin buddy. The cage is free but it is pretty wacky. It’s two horizontal cages zip tied together with a hole connecting the two. If you don’t have a cage i can wait until you get one. Text or Email for a rehoming fee.",unknown,
Baby Red Eyed Crocodile Skink,Trevilians,https://charlottesville.craigslist.org/pet/d/trevilians-baby-red-eyed-crocodile-skink/7818342324.html,"QR Code Link to This Post


Up for adoption is a captive bred (by me) Red Eyed Crocodile Skink hatchling. He/she is eating like a champ and will come with mini mealworms to get you through a few days. Also included is his/her 5.5 gallon bioactive enclosure. 

The last couple of pics are of mom and dad. The baby will get the red rings as it matures. 

Asking $300 OBO. Open to trades for a hognose as well.",reptile,300.0
Guinea pigs,Barboursville,https://charlottesville.craigslist.org/pet/d/somerset-guinea-pigs/7818293993.html,"QR Code Link to This Post


Cute furry young guinea pigs , mixed sizes, colours, male and females , american guinea pigs , mixed hairs , mixed ages",rodent,
Rex bunny,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-rex-bunny/7817950455.html,"QR Code Link to This Post


Rex bunny looking for a new home less then 3 months old believe to be male, comes with cage and supplies (not free)",rabbit,
Looking for a conure,Shipman,https://charlottesville.craigslist.org/pet/d/shipman-looking-for-conure/7816715117.html,"QR Code Link to This Post


In search of a conure or quaker! I have experience with all sizes of pet birds. I'm looking for a companion. Not interested in breeding. Just a pet. Thank you for your time, Kim",unknown,
Small Animal Cage,"Madison, Virginia",https://charlottesville.craigslist.org/pet/d/pratts-small-animal-cage/7816664591.html,"QR Code Link to This Post


Small animal cage for rabbit/guinea pig.  Never used.  Like New.  $30",unknown,30.0
Australian Shepherd×Great Pyrenees,No Location,https://charlottesville.craigslist.org/pet/d/columbia-australian-shepherdgreat/7816387879.html,"QR Code Link to This Post


Rehoming 3 8-week old Australian Shepherd×Great Pyrenees farm puppies. Adoption fee required as they are high quality with good temperament. Working dogs, not pets. Little human interaction but friendly, tons of interaction with farm animals. Three hundred adoption fee. No negotiations. Text four3four-4one4-five3three5 any time!",unknown,
Missing older golden retriever - please help,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-missing-older-golden/7815906512.html,"QR Code Link to This Post


PLEASE HELP ME FIND MY FAMILY! – Did you rescue me from a shelter? Did you find me along a road and take me in? I’m almost 10 years old and I want to go home to my family who loves me and raised me from a pup. They miss me every single day. I’ve been missing from my home north of Charlottesville, VA since August 2023 and nobody’s said they’ve seen me. Please call/text with any information:  show contact info",dog,
2 beautiful guinea pigs,Charlottesville,https://charlottesville.craigslist.org/pet/d/charlottesville-beautiful-guinea-pigs/7808399175.html,"QR Code Link to This Post


One is solid white : Bianca
Brown and black spots mainly white: Patches
Rehoming due to my daughters allergies. Very loving babies. Please only serious inquiries only.",rodent,
Silkie rooster,DILLWYN,https://charlottesville.craigslist.org/pet/d/dillwyn-silkie-rooster/7815148469.html,"QR Code Link to This Post


Silkie rooster. If you need a breeder for silkies or large bantam. FYI, -crows not loudly -but often.  FREE TO GOOD HOME. Bring your own box or crate. He is very territorial. He'll flog you any chance he gets. I'm giving this a month. February 5th is the end.",bird,
Rehoming Needed: Winston,"Kents Store, VA",https://charlottesville.craigslist.org/pet/d/kents-store-rehoming-needed-winston/7814275424.html,"QR Code Link to This Post


SERIOUS INQUIRIES, LOVING DOG OWNERS ONLY - WE WILL VET APPLICANTS

Winston is an incredibly loving and cuddly companion who will melt your heart with his warm, affectionate nature. He’s the type of dog who will happily curl up next to you for a snuggle session or simply bask in your attention. If you’re looking for a dog who loves people and craves human connection, he’s your guy! Warning: Lots of Cuddles Are Required If You Adopt This Dog!!

This sweet boy is fully house-trained. He is also food-motivated, and we have taught him some basic tricks (sit, down, paw, high-five, belly... ). He’s easy to walk with, enjoys short daily walks, and is a 55-pound pup, so we use a harness to make walking a breeze. He’s great on the leash and walks confidently by your side.

Winston has been good with other dogs in the past, we do recommend cautious introductions due to an unfortunate incident where he was bitten two years ago.

We adore Winston and want to find the perfect home for him—a family with time and love to give him the attention he deserves.",unknown,
Rex Bucks,No Location,https://charlottesville.craigslist.org/pet/d/louisa-rex-bucks/7813883616.html,"QR Code Link to This Post


Rex bucks, 8 weeks old looking for new homes. Small rehoming fee.",unknown,
