Title,Date,Location,URL
Ping Pong table,No Date,No Location,https://charlottesville.craigslist.org/zip/d/wingina-ping-pong-table/7819469981.html
FREE OAK WOOD,No Date,No Location,https://charlottesville.craigslist.org/grd/d/scottsville-free-oak-wood/7815613436.html
Queen Bedroom Set,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/charlottesville-queen-bedroom-set/7819380845.html
Ethernet Cat5 patch cables,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-ethernet-cat5-patch/7819174267.html
Eagle Creek waist pack,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-eagle-creek-waist-pack/7818790756.html
Toner cartridges,No Date,No Location,https://charlottesville.craigslist.org/sop/d/charlottesville-toner-cartridges/7818731251.html
Christmas tree stand,No Date,No Location,https://charlottesville.craigslist.org/hsh/d/charlottesville-christmas-tree-stand/7818730898.html
stroller and bassinet - FREE,No Date,No Location,https://charlottesville.craigslist.org/bab/d/batesville-stroller-and-bassinet-free/7818005583.html
Full Size Air Mattresses Repurpose Vinyl,No Date,No Location,https://charlottesville.craigslist.org/zip/d/lyndhurst-full-size-air-mattresses/7817534113.html
32 inch wood kitchen tables,No Date,No Location,https://charlottesville.craigslist.org/fuo/d/pratts-32-inch-wood-kitchen-tables/7817457637.html
"pick up of broken, damaged solar stuff",No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-pick-up-of-broken/7809204797.html
Artificial Xmas tree,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-artificial-xmas-tree/7816615625.html
Free split firewood for firepit or indoors,No Date,No Location,https://charlottesville.craigslist.org/zip/d/pratts-free-split-firewood-for-firepit/7816275883.html
Iso fish tank stand,No Date,No Location,https://charlottesville.craigslist.org/zip/d/gordonsville-iso-fish-tank-stand/7812790010.html
Iso plants for my fish tank,No Date,No Location,https://charlottesville.craigslist.org/zip/d/louisa-iso-plants-for-my-fish-tank/7812515551.html
Free Umbra kitchen trash can,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-free-umbra-kitchen/7815808918.html
kenmore over range microwave,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-kenmore-over-range/7815665458.html
Rehoming Pitbull,No Date,No Location,https://charlottesville.craigslist.org/zip/d/waynesboro-rehoming-pitbull/7815629724.html
Fire Wood,No Date,No Location,https://charlottesville.craigslist.org/for/d/keswick-fire-wood/7815260057.html
Blue/white area rug for kids playroom - free,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-blue-white-area-rug-for/7814506594.html
For trade or sell,No Date,No Location,https://charlottesville.craigslist.org/zip/d/charlottesville-for-trade-or-sell/7814195992.html
Ikea Lonset Slats,No Date,No Location,https://charlottesville.craigslist.org/zip/d/troy-ikea-lonset-slats/7813559513.html
